"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
1,93.053,102.56,85.2980000000001,12,2070-06-11,2070-06-22,161,6,12,12,9,4,10,9,1,84.25436,0.998904109589041,1,0.984657534246575,49.6844378082192,67.2960352941176,"balt"
2,90.434,94.3700000000001,86.738,9,2070-06-27,2070-07-05,177,6,9,9,5,0,8,5,0,84.25436,0.996164383561644,0.999178082191781,0.989041095890411,49.6844378082192,67.2960352941176,"balt"
3,85.73,86.432,85.0280000000001,2,2070-07-13,2070-07-14,193,7,2,2,0,0,0,0,0,84.25436,0.986301369863014,0.988493150684931,0.983835616438356,49.6844378082192,67.2960352941176,"balt"
4,93.8363,105.224,85.892,20,2070-07-20,2070-08-08,200,7,20,20,14,9,18,14,0,84.25436,0.998904109589041,1,0.987397260273973,49.6844378082192,67.2960352941176,"balt"
5,88.4984,96.7459999999999,84.614,5,2070-08-10,2070-08-14,221,8,5,3,2,1,2,2,0,84.25436,0.993424657534247,1,0.981369863013699,49.6844378082192,67.2960352941176,"balt"
6,86.192,86.504,85.5860000000001,3,2070-08-16,2070-08-18,227,8,3,3,0,0,0,0,0,84.25436,0.987671232876712,0.988493150684931,0.985479452054794,49.6844378082192,67.2960352941176,"balt"
7,85.3340000000001,86.198,84.4700000000001,2,2071-07-03,2071-07-04,183,7,2,1,0,0,0,0,1,84.25436,0.984657534246575,0.987945205479452,0.981095890410959,49.6844378082192,67.2960352941176,"balt"
8,96.1745,100.652,87.6739999999999,8,2071-07-13,2071-07-20,193,7,8,8,6,6,8,6,0,84.25436,0.99972602739726,1,0.991780821917808,49.6844378082192,67.2960352941176,"balt"
9,88.925,89.51,88.34,2,2071-08-06,2071-08-07,217,8,2,2,0,0,2,1,0,84.25436,0.993698630136986,0.995068493150685,0.992876712328767,49.6844378082192,67.2960352941176,"balt"
10,87.72575,92.012,84.4520000000001,8,2071-08-29,2071-09-05,240,8,8,7,1,0,6,1,0,84.25436,0.991780821917808,0.998082191780822,0.981095890410959,49.6844378082192,67.2960352941176,"balt"
11,86.783,88.664,84.902,2,2071-09-12,2071-09-13,254,9,2,1,0,0,1,0,0,84.25436,0.98958904109589,0.993424657534247,0.983561643835616,49.6844378082192,67.2960352941176,"balt"
12,87.6668,90.374,85.7659999999999,5,2071-09-30,2071-10-04,272,9,5,5,1,0,3,1,0,84.25436,0.991780821917808,0.996164383561644,0.986301369863014,49.6844378082192,67.2960352941176,"balt"
13,86.171,86.504,85.838,2,2072-08-25,2072-08-26,237,8,2,2,0,0,0,0,1,84.25436,0.987671232876712,0.988493150684931,0.986849315068493,49.6844378082192,67.2960352941176,"balt"
14,88.7809999999999,92.912,84.6499999999999,2,2073-06-27,2073-06-28,177,6,2,1,1,0,1,1,1,84.25436,0.993698630136986,0.998904109589041,0.981917808219178,49.6844378082192,67.2960352941176,"balt"
15,88.6999999999999,88.8079999999999,88.5919999999999,2,2073-07-17,2073-07-18,197,7,2,2,0,0,2,0,0,84.25436,0.993424657534247,0.993698630136986,0.993424657534247,49.6844378082192,67.2960352941176,"balt"
16,93.935,98.3659999999999,86.7739999999999,12,2073-07-20,2073-07-31,200,7,12,12,10,6,11,10,0,84.25436,0.998904109589041,1,0.98958904109589,49.6844378082192,67.2960352941176,"balt"
17,91.8748571428571,97.2319999999999,84.9379999999999,21,2073-08-10,2073-08-30,221,8,21,20,14,6,19,16,0,84.25436,0.998082191780822,1,0.983835616438356,49.6844378082192,67.2960352941176,"balt"
18,93.4424705882353,101.444,84.3619999999999,17,2074-07-06,2074-07-22,186,7,17,16,13,7,14,14,1,84.25436,0.998904109589041,1,0.98027397260274,49.6844378082192,67.2960352941176,"balt"
