"hw.number","mean.temp","max.temp","min.temp","length","start.date","end.date","start.doy","start.month","days.above.80","days.above.85","days.above.90","days.above.95","days.above.99th","days.above.99.5th","first.in.season","threshold","mean.temp.quantile","max.temp.quantile","min.temp.quantile","mean.temp.1","mean.summer.temp","city"
1,84.866,84.956,84.7760000000001,2,2070-06-03,2070-06-04,153,6,2,0,0,0,2,0,1,82.92344,0.994246575342466,0.994520547945206,0.993698630136986,57.8600032876712,73.4487058823529,"balt"
2,84.191,84.9379999999999,83.444,2,2070-06-10,2070-06-11,160,6,2,0,0,0,1,0,0,82.92344,0.991506849315068,0.994520547945206,0.985479452054794,57.8600032876712,73.4487058823529,"balt"
3,85.088,86.3419999999999,83.3,3,2070-06-17,2070-06-19,167,6,3,2,0,0,2,2,0,82.92344,0.995616438356164,0.999178082191781,0.983835616438356,57.8600032876712,73.4487058823529,"balt"
4,84.893,85.352,84.4339999999999,2,2070-06-29,2070-06-30,179,6,2,1,0,0,2,1,0,82.92344,0.994520547945206,0.996712328767123,0.993150684931507,57.8600032876712,73.4487058823529,"balt"
5,86.4929230769231,92.4260000000001,83.3,13,2070-07-04,2070-07-16,184,7,13,9,1,0,11,9,0,82.92344,0.999178082191781,1,0.983835616438356,57.8600032876712,73.4487058823529,"balt"
6,85.0892,87.5480000000001,83.156,10,2070-07-18,2070-07-27,198,7,10,5,0,0,8,5,0,82.92344,0.995616438356164,1,0.982191780821918,57.8600032876712,73.4487058823529,"balt"
7,86.5912307692307,91.8319999999999,83.7319999999999,13,2070-08-01,2070-08-13,212,8,13,9,2,0,12,9,0,82.92344,0.999452054794521,1,0.989315068493151,57.8600032876712,73.4487058823529,"balt"
8,83.579,83.66,83.498,2,2070-08-15,2070-08-16,226,8,2,0,0,0,0,0,0,82.92344,0.987123287671233,0.988219178082192,0.986301369863014,57.8600032876712,73.4487058823529,"balt"
9,89.92625,92.588,83.4619999999999,8,2070-08-18,2070-08-25,229,8,8,7,5,0,7,7,0,82.92344,1,1,0.986027397260274,57.8600032876712,73.4487058823529,"balt"
10,83.888,84.488,83.0480000000001,3,2070-09-23,2070-09-25,265,9,3,0,0,0,2,0,0,82.92344,0.99041095890411,0.993424657534247,0.980821917808219,57.8600032876712,73.4487058823529,"balt"
11,84.9405714285714,87.098,83.57,7,2071-06-07,2071-06-13,157,6,7,2,0,0,6,2,1,82.92344,0.994520547945206,0.99972602739726,0.987123287671233,57.8600032876712,73.4487058823529,"balt"
12,86.8750769230769,89.96,83.066,13,2071-06-20,2071-07-02,170,6,13,11,0,0,12,11,0,82.92344,0.99972602739726,1,0.981369863013699,57.8600032876712,73.4487058823529,"balt"
13,87.106,90.896,82.9399999999999,9,2071-07-04,2071-07-12,184,7,9,7,1,0,7,7,0,82.92344,0.99972602739726,1,0.98,57.8600032876712,73.4487058823529,"balt"
14,86.207,87.368,85.046,4,2071-07-15,2071-07-18,195,7,4,4,0,0,4,4,0,82.92344,0.998904109589041,0.99972602739726,0.995342465753425,57.8600032876712,73.4487058823529,"balt"
15,88.30175,92.5159999999999,83.318,8,2071-07-23,2071-07-30,203,7,8,6,2,0,7,6,0,82.92344,1,1,0.983835616438356,57.8600032876712,73.4487058823529,"balt"
16,87.6629677419355,91.364,83.948,31,2071-08-01,2071-08-31,212,8,31,30,6,0,31,30,0,82.92344,1,1,0.99041095890411,57.8600032876712,73.4487058823529,"balt"
17,86.183375,90.158,83.318,16,2072-06-13,2072-06-28,164,6,16,10,1,0,14,10,1,82.92344,0.998904109589041,1,0.983835616438356,57.8600032876712,73.4487058823529,"balt"
18,87.05,93.74,82.9579999999999,18,2072-06-30,2072-07-17,181,6,18,13,2,0,15,13,0,82.92344,0.99972602739726,1,0.98,57.8600032876712,73.4487058823529,"balt"
19,86.943875,91.094,83.624,16,2072-07-31,2072-08-15,212,7,16,13,2,0,15,13,0,82.92344,0.99972602739726,1,0.987671232876712,57.8600032876712,73.4487058823529,"balt"
20,85.258,86.666,82.9579999999999,9,2072-08-21,2072-08-29,233,8,9,5,0,0,8,5,0,82.92344,0.995890410958904,0.99972602739726,0.98,57.8600032876712,73.4487058823529,"balt"
21,83.774,84.002,83.642,3,2072-09-02,2072-09-04,245,9,3,0,0,0,1,0,0,82.92344,0.98986301369863,0.99041095890411,0.987945205479452,57.8600032876712,73.4487058823529,"balt"
22,84.6968,85.118,84.02,5,2072-09-08,2072-09-12,251,9,5,3,0,0,5,3,0,82.92344,0.993698630136986,0.995616438356164,0.99041095890411,57.8600032876712,73.4487058823529,"balt"
23,84.623,84.92,84.3260000000001,2,2073-06-17,2073-06-18,167,6,2,0,0,0,2,0,1,82.92344,0.993698630136986,0.994520547945206,0.992602739726027,57.8600032876712,73.4487058823529,"balt"
24,84.515,85.316,83.696,4,2073-06-21,2073-06-24,171,6,4,1,0,0,3,1,0,82.92344,0.993424657534247,0.996438356164384,0.988493150684931,57.8600032876712,73.4487058823529,"balt"
25,87.152,89.888,83.03,4,2073-06-30,2073-07-03,180,6,4,3,0,0,3,3,0,82.92344,0.99972602739726,1,0.980821917808219,57.8600032876712,73.4487058823529,"balt"
26,84.398,86.5760000000001,83.0839999999999,3,2073-07-05,2073-07-07,185,7,3,1,0,0,1,1,0,82.92344,0.992602739726027,0.999452054794521,0.981369863013699,57.8600032876712,73.4487058823529,"balt"
27,85.91,86.8999999999999,84.614,4,2073-07-10,2073-07-13,190,7,4,3,0,0,4,3,0,82.92344,0.998356164383562,0.99972602739726,0.993698630136986,57.8600032876712,73.4487058823529,"balt"
28,85.7599999999999,87.5839999999999,83.012,3,2073-07-18,2073-07-20,198,7,3,2,0,0,2,2,0,82.92344,0.997808219178082,1,0.980821917808219,57.8600032876712,73.4487058823529,"balt"
29,89.009,91.886,85.4239999999999,12,2073-07-24,2073-08-04,204,7,12,12,3,0,12,12,0,82.92344,1,1,0.996712328767123,57.8600032876712,73.4487058823529,"balt"
30,84.248,85.262,83.4619999999999,3,2073-08-09,2073-08-11,220,8,3,1,0,0,2,1,0,82.92344,0.992054794520548,0.996164383561644,0.986027397260274,57.8600032876712,73.4487058823529,"balt"
31,84.866,86.36,83.5159999999999,6,2073-08-16,2073-08-21,227,8,6,3,0,0,5,3,0,82.92344,0.994246575342466,0.999178082191781,0.986575342465753,57.8600032876712,73.4487058823529,"balt"
32,84.4556,85.046,83.93,5,2073-08-24,2073-08-28,235,8,5,1,0,0,5,1,0,82.92344,0.993150684931507,0.995342465753425,0.99041095890411,57.8600032876712,73.4487058823529,"balt"
